ID,3BNC117,8ANC131,VRC03,CH103,2F5,VRC06,VRC-PG20,VRC-PG04,17b,PG16,VRC01,8ANC195,VRC-CH31,b12,b13,NIH45-46,10E8,VRC23,4E10,F105,PG9
EU513198,50,50,50,50,4.27,50,50,50,50,1.13,50,50,50,29.600,50,50,0.470,50,3.17,50,0.913
HM215260,0.018,0.135,0.043,0.045,7.37,0.452,0.021,0.054,50,50,0.042,1.290,0.042,5.620,50,0.055,0.618,50,1.660,50,50
HM215289,0.110,9.470,0.072,0.872,23.1,0.901,0.294,0.190,50,0.037,0.166,8.840,0.182,50,50,0.178,2.280,0.965,2.630,50,0.162
EU513182,0.047,0.209,0.019,0.199,50,0.367,0.081,0.023,50,1.31,0.354,50,0.008,50,50,0.196,0.185,0.389,0.319,50,0.353
AY835444,0.074,0.477,0.713,0.608,50,36.6,2.230,0.234,50,19.8,0.707,0.169,0.188,50,50,0.148,2.630,2.610,1.990,50,6.24
JQ352782,0.019,9.970,50,0.063,2.49,50,0.026,0.035,50,0.021,0.030,0.033,0.194,50,50,0.035,0.857,1.320,5.260,50,0.037
U27399,0.410,50,50,0.010,50,50,50,50,0.144,50,0.443,2.250,0.126,0.838,0.108,1.480,0.1,45.0,0.196,0.073,50
JQ362420,0.067,0.713,12.600,0.992,50,50,50,0.419,50,0.005,0.284,5.170,0.353,0.898,50,0.953,0.230,20.30,0.99,50,0.071
JQ715408,50,0.693,0.026,0.006,0.023,50,0.011,50,0.4,50,0.016,50,0.178,0.0006,4.160,0.004,0.001,30.00,0.016,50,50
DQ318210,0.012,0.132,50,0.089,4.13,50,0.046,0.060,50,8.00,0.048,50,0.123,0.085,3.530,0.017,0.767,0.051,6.740,50,0.052
EU513186,0.007,0.959,50,0.025,10.0,50,50,0.023,50,0.023,0.023,0.741,0.001,50,50,0.074,0.952,0.356,2.9,50,0.023
U08444,0.229,0.817,0.185,0.264,0.172,50,1.840,0.253,50,0.153,0.613,0.322,0.202,0.246,50,0.099,0.025,3.030,0.397,50,0.271
AF004885,0.017,0.274,0.041,2.830,10.8,7.37,0.038,0.048,50,0.002,0.084,1.660,0.023,50,50,0.106,0.650,0.579,0.132,50,0.007
JQ715407,0.154,22.400,50,0.407,0.023,50,0.169,0.277,50,0.022,0.478,5.250,0.693,50,50,0.270,0.017,0.790,0.151,50,0.122
AF407152,0.017,0.756,0.021,0.075,16.1,0.159,0.026,50,50,0.028,0.067,50,4.910,50,50,0.046,4.460,50,10.200,50,0.045
HM215304,0.061,8.120,50,0.151,6.99,50,1.660,50,50,0.728,0.132,29.400,0.374,50,50,0.351,2.640,N/A,1.940,50,0.025
AY424079,0.067,24.500,50,50,50,50,50,50,50,50,0.689,50,0.355,50,50,0.280,0.022,12.200,0.034,50,50
JN944665,0.035,9.000,0.054,0.024,1.73,50,0.033,0.011,50,0.280,0.068,0.071,0.045,50,50,0.065,1.210,0.101,3.790,50,0.20
JQ362422,50,50,50,0.050,0.455,50,50,50,50,50,50,50,50,50,50,50,0.097,50,0.469,50,0.393
HM215258,0.215,0.262,0.224,0.819,4.43,0.780,0.114,0.117,50,50,0.212,50,0.095,50,50,0.185,1.520,1.120,8.240,50,50
EF117267,0.208,37.100,0.359,4.940,50,26.8,50,0.138,50,0.023,0.112,0.345,1.070,50,50,0.019,0.013,18.0,0.078,50,0.023
HM215297,0.008,0.037,50,0.019,4.63,50,50,0.04,50,50,0.026,0.017,0.885,50,50,0.034,0.637,24.40,1.910,50,50
HM215256,0.200,1.180,0.872,0.959,50,50,0.212,0.615,50,2.10,0.528,2.060,0.132,50,50,0.397,8.250,6.970,31.700,50,2.18
JQ715411,0.089,0.510,0.093,0.390,1.10,50,0.805,0.379,50,50,0.488,6.910,0.141,32.000,50,0.615,1.080,6.510,5.830,50,50
EU513196,0.203,1.790,50,0.480,30.5,50,5.960,0.516,50,10.5,3.260,0.514,0.171,50,50,1.360,0.827,5.510,9.420,50,50
DQ411853,0.289,50,50,0.140,50,50,50,0.194,50,0.030,50,31.500,0.275,0.547,50,50,0.041,50,0.023,50,0.262
JQ352783,0.230,50,50,3.360,2.56,50,0.101,0.788,50,0.587,1.870,1.610,0.310,50,50,1.730,0.423,1.660,2.690,50,1.55
HM215341,0.281,0.462,1.550,0.349,N/A,N/A,0.320,0.545,50,N/A,0.452,0.704,3.690,50,50,1.520,0.431,50,1.660,N/A,N/A
