ID,3TC,ABC,AZT,D4T,DDC,DDI,DLV,EFV,NVP,TDF,FTC
95844,48.2,3.1,0.7,0.6,3.4,1.6,161.0,104.8,76.3,0.5,51.1
95874,72.9,7.2,22.7,2.7,3.4,1.9,164.2,603.3,122.0,3.3,55.8
95902,47.4,2.3,51.5,2.5,1.4,2.3,80.6,10.7,118.9,5.7,61.4
95932,13.4,3.8,15.8,2.0,4.3,2.6,4.0,0.4,88.4,3.1,31.0
95934,17.8,7.7,88.4,6.4,7.7,7.6,5.7,0.7,169.6,4.2,25.9
95962,72.9,1.5,1.1,1.1,1.2,0.6,87.2,603.3,122.0,0.7,55.8
95964,36.2,3.4,4.6,0.8,16.0,1.2,0.1,0.4,0.5,2.0,36.4
95966,24.4,,,0.5,1.5,1.5,0.2,0.4,0.7,1.9,55.8
95986,4.7,6.3,5.8,2.1,2.7,1.9,161.0,688.3,76.3,2.7,12.6
95992,4.8,2.4,11.6,1.5,1.6,2.1,97.3,271.7,88.4,1.7,12.2
95998,48.2,8.6,3.6,1.3,3.0,1.5,0.8,0.9,1.6,2.0,51.1
96002,2.2,0.6,2.3,1.2,0.6,1.4,126.5,15.6,90.0,0.6,3.8
96004,49.6,2.3,5.2,0.7,0.9,2.3,1.9,1.6,2.4,1.6,48.8
96008,32.0,5.3,8.4,1.5,5.0,4.4,19.1,725.1,255.6,2.5,33.1
96038,72.9,5.5,0.9,9.0,5.1,4.7,20.1,103.4,122.0,2.8,55.8
96040,1.4,0.5,,0.9,0.2,,19.5,,169.6,2.9,13.8
96046,6.3,3.3,4.1,2.8,0.7,2.1,164.2,176.7,122.0,2.1,6.5
96072,8.3,2.8,54.8,1.3,2.8,1.0,161.0,688.3,76.3,11.4,27.9
96074,24.4,4.2,0.8,0.4,2.0,1.9,156.5,2.1,169.6,0.7,55.8
96096,4.7,2.3,4.5,1.7,2.6,2.4,161.0,688.3,76.3,1.9,8.5
96100,47.5,7.7,1.1,0.5,0.3,0.3,1.9,494.5,90.0,2.3,46.0
